491.34,22.759,4.769,13.448,13.103,31.586,20.655,4.8621,34.931
311.75,11,2.775,7,22.5,17.75,16.75,3.05,27.5
0,0,0,0,0,0,0,0,0
378.25,20.875,3.9125,12,15.625,25.25,17.875,4.125,29
480.88,22.417,4.325,12.292,14.5,34.5,23.083,4.8,35.333
298.09,15.647,3.6765,9.7647,18.471,16.588,12.971,3.7647,23.647
0,0,0,0,0,0,0,0,0
294.84,12.842,3.1737,7.6316,18.789,16.211,15.211,3.2737,21.053
266,10.2,3.36,8,19.6,21,13.6,2.66,24.8
349.33,15,3.6,11.667,16,26,17.333,3.5,30.333
395,13,3.2,8,25,17,16,2.8,22
357.12,16,3.8923,11.192,18.577,25.808,16.962,3.7538,29.192
424.79,18.321,3.9415,12.094,15.302,27.547,17.453,4.0189,30.943
0,0,0,0,0,0,0,0,0
271,13,2.7,9,20,19,13,2.6,22
295,13.429,3.5,8.4286,16.857,20.143,16.857,3.5286,26.143
354.67,14.154,3.4897,9.7179,20.59,26.077,16,3.5385,30.641
388.69,16.4,3.9029,10.486,15.829,29.2,20.4,3.7171,31.457
307.19,12.108,2.8838,9.6757,19.649,26.676,16.486,2.9189,31.73
370.11,14.421,3.0789,9.6842,16.789,26.421,17.737,3.2368,32.211
467.38,21.559,4.1941,12.382,12.029,30.441,23.735,4.8,33.147
478.62,22.862,4.1793,12.276,17.241,32.621,23.621,4.431,36.897
334.14,13.571,3.8571,9.8571,18,23.286,18.143,3.6286,29.857
304.77,12.692,3.3154,10.231,16.923,23.923,13.923,3.0231,28.538
249.57,12.143,3.6286,9.2857,20.571,19.143,13.714,3.2143,21.571
339.68,13.393,3.6929,10.143,20.357,23.607,17.643,3.5071,32.464
274.96,11.148,2.8037,8.4815,21.667,22.481,16.185,2.7556,28.889
503.68,21.25,4.0071,12.714,13.786,34.143,20.464,4.0857,35.179
385.69,16.885,3.8308,10.038,16.269,29,20.846,4.1423,31.846
359.2,15.4,3.54,9.2,20.8,23.4,20,3.98,26.4
314.5,12.7,2.77,8.8,21,25.9,16.8,2.86,31.5
428.75,17.5,3.85,11.25,18.75,22.5,17,4.1,26.25
296.29,12.143,3.4857,9.7143,18.714,20.857,17,3.2143,26.857
300.33,14.25,3.4417,9.6667,18.417,23.917,15.083,3.2667,25.75
368.67,19.111,3.7,11.111,15.111,21.556,17.778,4.1222,25.111
322.26,13.088,3.6088,9.1176,18.853,24.294,15.441,3.4588,27.618
389.57,18.955,3.8636,11.636,14.364,27.341,19.523,3.9886,31
285.75,11.25,2.55,8,23,25.5,16.5,2.425,32
374.7,16.075,4.03,11.225,17.6,28.375,19.6,3.77,31.525
486.22,20.87,4.3957,12.174,12.783,32.696,21.522,4.6,34.261
356.27,14.636,4.0545,10.636,19.636,18.364,16.545,4.0636,29.182
345.54,14.536,3.9429,10.714,17.607,25.714,19.25,3.6107,30.964
0,0,0,0,0,0,0,0,0
289,10.5,3.5,8.5,21,21.5,14,3.1,26
450.35,20.2,4.15,13.55,14.75,27.4,20.5,4.225,34.7
270.56,10.889,2.4778,8.2222,19,23.222,15.444,2.7556,29.667
460.45,22.097,4.6226,12,11.742,35.419,23.065,4.7387,33.226
393.54,19.444,3.227,11.937,16.968,27.762,15.952,3.6492,30.73
296.2,12.6,3.38,8,10.8,18.4,9.8,3.56,26.2
321.33,10.667,3.3333,8.3333,19.667,19.333,15.667,3.2667,24.667
381,16.34,3.3979,10.447,16.149,25.319,18.723,3.5894,29.638
0,0,0,0,0,0,0,0,0
284.73,16.867,3.7,9.6667,19.333,20.133,15.067,3.8933,28.6
477.44,21.222,4.5889,12.167,11.5,32,23.667,4.75,34.556
291.8,12.56,3.344,9.28,24.32,22.52,15.8,3.272,30.04
361.86,13.429,3.2714,8,18.286,22.571,18.429,3.2714,26.714
